Cafenummer;Naam;Adres;Postcode;Plaats;PostadresAdres;PostadresPostcode;PostadresPlaats;Telefoon;Website;Emailadres;Deelname;NieuwDitSeizoen
C264;Edohof;"Schoolstraat 7";"6626 AC";Alphen;"Schoolstraat 7";"6626 AC";Alphen;"0487 562288";;;Nee;Nee
C058;"'t Anker";"Nieuweweg 2";"6626 KS";"Alphen (Gld)";"Nieuweweg 2";"6626 KS";"Alphen (Gld)";0487-562329;;;Nee;Nee
C279;"De Horst";"Rijdt 38";"6631 AT";Horssen;"Rijdt 38";"6631 AT";Horssen;0487541607;;;Ja;Nee
C106;"Sportcafé De Vrijboom";"van Heemstraweg 66b";"6641 AG";Beuningen;"van Heemstraweg 66b";"6641 AG";Beuningen;06-51283944;;jcmc.megens@chello.nl;Ja;Nee
C124;"De Bruine Kroeg";"Kerkplein 54";"6641 BH";Beuningen;"Kerkplein 54";"6641 BH";Beuningen;024-8442144;;;Nee;Nee
C230;"Café 't Hartje";"Julianaplein 168";"6641 CT";Beuningen;"Julianaplein 168";"6641 CT";Beuningen;024-6776925;;;Nee;Nee
C999;"Individueel Lid";"Kwiek 11";"6641 RR";Beuningen;"Kwiek 11";"6641 RR";Beuningen;;;;Nee;Nee
C195;"Café Bar Zaal 't Uuleke";"Julianastraat 12";"6644 BR";Ewijk;"Julianastraat 12";"6644 BR";Ewijk;0487-507236;0;0;Nee;Nee
C253;"Check Out";"Den Elt 17J";"6644 EA";Ewijk;"Den Elt 17J";"6644 EA";Ewijk;06-36336040;;;Nee;Nee
C049;"Rest. Partycentrum De Passie";"Groene Heuvels 5";"6644 KX";Ewijk;"Groene Heuvels 5";"6644 KX";Ewijk;0487-539606;;;Nee;Nee
C025;"De Zon";"Julianastraat 12";"6644 PR";Ewijk;"Julianastraat 12";"6644 PR";Ewijk;0487-521382;;;Nee;Nee
C274;"Café Daan.";"Notaris Stephanus Roesstraat 8";"6645 AH";"Winssen ";"Notaris Stephanus Roesstraat 8";"6645 AH";"Winssen ";0630789410;;daan.willems94@hotmail.com;Nee;Nee
C235;"Dorpshuis De Lier";"Koningsweg 12";"6651 AC";"Puiflijk ";"Koningsweg 12";"6651 AC";"Puiflijk ";06-51168100;;;Nee;Nee
C078;"Vogue (Druten)";"Kattenburg 49";"6651 AM";Druten;"Kattenburg 49";"6651 AM";Druten;0487-592999;;;Nee;Nee
C102;"De Biechtvader";"Ambtshuisstraat 1";"6651 AS";Druten;"Ambtshuisstraat 1";"6651 AS";Druten;0487-514579;;;Nee;Nee
C026;"D'n Koperen Droes";"Ambtshuisstraat 13";"6651 AS";Druten;"Ambtshuisstraat 13";"6651 AS";Druten;0487-514571;;;Nee;Nee
C006;"Bar Sporthal De Heuvel";"Heuvel 40";"6651 DE";Druten;"Heuvel 40";"6651 DE";Druten;0487-512997;http://www.sporthaldeheuvel.nl/;;Nee;Nee
C231;"Basisschool de Kleurencirkel";"Koekoek 1-3";"6651 GP";Druten;"Koekoek 1-3";"6651 GP";Druten;;;;Nee;Nee
C009;"De Doorkijk";"Langstuk 2";"6651 HZ";Druten;"Langstuk 2";"6651 HZ";Druten;0487-516363;;;Ja;Nee
C214;"Café 't Zwaantje";"Vriezeweg 10";"6653 AJ";Deest;"Vriezeweg 10";"6653 AJ";Deest;"0487 512582";;;Nee;Nee
C012;"De Verleiding";"Grotestraat 8 B ";"6653 BL";Deest;"Grotestraat 8 B ";"6653 BL";Deest;0487-519019;;;Nee;Nee
C165;"Café Lammie";"Van Heemstraweg 7";"6653 KA";Deest;"Van Heemstraweg 7";"6653 KA";Deest;0487-510777;;;Nee;Nee
C011;"Horeca Megens";"Koningstraat 39";"6654 AA";Afferden;"Koningstraat 39";"6654 AA";Afferden;0487-512684;;;Nee;Nee
C083;Megens;"Koningstraat 39";"6654 AA";"Afferden (Gld)";"Koningstraat 39";"6654 AA";"Afferden (Gld)";0487-512684;;;Nee;Nee
C239;"Café De Bever";"Zandstraat 53";"6658 CM";"Beneden Leeuwen";"Zandstraat 53";"6658 CM";"Beneden Leeuwen";06-52071842;;;Nee;Nee
C198;"VTC Wamel";"Clarissenstraat 2";"6659 BN";Wamel;"Clarissenstraat 2";"6659 BN";Wamel;"06 242 806 26 ";0;0;Ja;Nee
C190;"Onder De Toren";"Sint Maartenstraat 34";"6661 DA";Elst;"Sint Maartenstraat 34";"6661 DA";Elst;0481-371302;;;Nee;Nee
C079;"Vogue (Elst)";"Stationsstraat 5";"6662 BA";"Elst (Gld)";"Stationsstraat 5";"6662 BA";"Elst (Gld)";0481-373212;;;Nee;Nee
C092;Waalzicht;"Oosterhoutsedijk 21";"6663 KS";Lent;"Oosterhoutsedijk 21";"6663 KS";Lent;024-3234506;;;Nee;Nee
C191;"'t Wapen van Heteren";"Dorpstraat 41";"6666 AG";Heteren;"Dorpstraat 41";"6666 AG";Heteren;026-4720402;;;Nee;Nee
C170;"DC De Rijnvogels";"Drielse Rijndijk 61a";"6667 LP";Driel;"Drielse Rijndijk 61a";"6667 LP";Driel;06-53334614;;;Ja;Nee
C048;"Randwijks Hof";"Bredeweg 8a";"6668 AS";Randwijk;"Bredeweg 8a";"6668 AS";Randwijk;0488-491757;;;Nee;Nee
C122;"Kort Oisterwijck";"Pannerdenseweg 47";"6668 BC";Doornenbug;"Pannerdenseweg 47";"6668 BC";Doornenbug;0481-421418;;;Nee;Nee
C213;"Café De Posthoorn";"Tielsestraat 215";"6673 AC";Andelst;"Tielsestraat 215";"6673 AC";Andelst;0488-451404;;;Ja;Nee
C201;"De Viersprong";"Reethsestraat 1";"6675 CE";Valburg;"Reethsestraat 1";"6675 CE";Valburg;0488-431234;;;Ja;Nee
C084;"Café Zaal Merkus";"Dorpsstraat 12";"6678 BH";"Oosterhout (Gld)";"Dorpsstraat 12";"6678 BH";"Oosterhout (Gld)";0481-481204;;;Nee;Nee
C066;"'t Stuupke";"Dorpsstraat 57";"6681 BL";Bemmel;"Dorpsstraat 57";"6681 BL";Bemmel;0481-461997;;;Nee;Nee
C203;"Café 't Hertenkamp";"Dorpsstraat 57";"6681 BL";Bemmel;"Dorpsstraat 57";"6681 BL";Bemmel;0481-461128;;;Nee;Nee
C246;"Café 61";"Dorpsstraat 61";"6681 BL";Bemmel;"Dorpsstraat 61";"6681 BL";Bemmel;06-17409595;;;Nee;Nee
C277;"Café de Roskam";"Dorpsstraat 95";"6681 BM";Bemmel;"Dorpsstraat 95";"6681 BM";Bemmel;0621105476;;;Nee;Nee
C209;"S.V. Op De Korrel";"Sportlaan 1E";"6681 CD";Bemmel;"Sportlaan 1E";"6681 CD";Bemmel;0481-464753;;;Ja;Nee
C028;"Dorpshuis De Tichel";"Kolkweg 5 A";"6685 BC";Haalderen;"Kolkweg 5 A";"6685 BC";Haalderen;0481-464409;;;Ja;Nee
C150;"De Tichel";"Kolkweg 5a";"6685 BC";Haalderen;"Kolkweg 5a";"6685 BC";Haalderen;0481-464409;;;Nee;Nee
C135;"De Klits";"van der Mondeweg 28";"6685 BP";Haalderen;"van der Mondeweg 28";"6685 BP";Haalderen;0481-454623;;;Nee;Nee
C238;"Café 't Vermaeck";"Van der Mondeweg 28";"6685 BP";Haalderen;"Van der Mondeweg 28";"6685 BP";Haalderen;06-11620528;;;Nee;Nee
C014;"De Klok";"Markt 1";"6691 BK";Gendt;"Markt 1";"6691 BK";Gendt;0481-421551;;;Ja;Nee
C146;"WICC Sportcafé Down Under";"Lawickse Allee 9";"6701 AN";Wageningen;"Lawickse Allee 9";"6701 AN";Wageningen;0317-490133;;;Nee;Nee
C109;"De Malle Molen - Wageningen";"Markt 2";"6701 CZ";Wageningen;"Markt 2";"6701 CZ";Wageningen;0317-422790;;;Nee;Nee
C125;"Kuykie's Eetcafé";"Willem Pijperlaan 12";"6711 ER";Ede;"Willem Pijperlaan 12";"6711 ER";Ede;0318-615012;;;Nee;Nee
C111;EDC;"Kuiperplein 29";"6713 AX";Ede;"Kuiperplein 29";"6713 AX";Ede;06-40305201;;;Nee;Nee
C216;"Café de Keijzer";"Edeseweg 73";"6721 JR";Bennekom;"Edeseweg 73";"6721 JR";Bennekom;0318-415802;;;Ja;Nee
C261;Dubbel10;"Varkensstraat 41";"6811 GN";Arnhem;"Varkensstraat 41";"6811 GN";Arnhem;"026 2130501";https://dubbel10.nl/;" info@dubbel10.nl";Ja;Nee
C223;"P.V. Arnhem Oost";"Konijnenweg 18A";"6823 ED";Arnhem;"Konijnenweg 18A";"6823 ED";Arnhem;;;;Nee;Nee
C166;"One Down";"Lange Wal 57";"6826 NA";Arnhem;"Lange Wal 57";"6826 NA";Arnhem;026-3623340;;;Nee;Nee
C177;"Snackbar Bistro De Snip";"Suikerland 8";"6833 BA";Arnhem;"Suikerland 8";"6833 BA";Arnhem;026-3214404;;;Nee;Nee
C131;Ozzie;"Langekerkstraat 1";"6851 BM";Huissen;"Langekerkstraat 1";"6851 BM";Huissen;06-24761552;;;Nee;Nee
C114;"Muziek de Maan";"Langekerkstraat 1";"6851 BM";Huissen;"Langekerkstraat 1";"6851 BM";Huissen;06-54345373;;;Nee;Nee
C221;"Café Enjoy";"Langekerkstraat 1";"6851 BM";Huissen;"Langekerkstraat 1";"6851 BM";Huissen;06-23517756;;;Nee;Nee
C259;"Camping De Lindenhof";"Wolfhezerweg 111";"6874 AD";Wolfheze;"Wolfhezerweg 111";"6874 AD";Wolfheze;"06 53981908";;;Ja;Nee
C137;"'t Haspeltje";"Haspelstraat 20";"6901 EX";Zevenaar;"Haspelstraat 20";"6901 EX";Zevenaar;0316-340121;;;Nee;Nee
C220;"Café 't Haspeltje";"Haspelstraat 20";"6901 EX";Zevenaar;"Haspelstraat 20";"6901 EX";Zevenaar;06-18876837;;;Nee;Nee
C271;"Café van Dorth";"Rijksweg 19";"6921 AB";Duiven;"Rijksweg 19";"6921 AB";Duiven;0316-261283;;;Ja;Nee
C248;"Café De Tol";"Rijksweg 19";"6921 AB";Duiven;"Rijksweg 19";"6921 AB";Duiven;0316-261283;;;Nee;Nee
C117;Spelleward;"Kastanjelaan 7";"6921 ER";Duiven;"Kastanjelaan 7";"6921 ER";Duiven;06-13691215;;;Nee;Nee
C064;"'t Kroegje";"Steenbakkersweg 20";"6991 EM";Rheden;"Steenbakkersweg 20";"6991 EM";Rheden;026-4953727;;;Nee;Nee
C193;"Partycentrum Ons Huis";"Mr. B. van Leeuwenplein 7";"6991 EW";Rheden;"Mr. B. van Leeuwenplein 7";"6991 EW";Rheden;026-4952019;;;Ja;Nee
